Kecamatan,Tahun,Luas,Jml_RT,Jml_RW,Jml_penduduk
Kota Magelang,2019,,,,130440.0
Kota Magelang,2020,,,,128020.0
Magelang Selatan,2019,7.13,326.0,70.0,43129.0
Magelang Selatan,2020,7.13,326.0,70.0,42224.0
Magelang Selatan,2021,7.13,326.0,70.0,
Magelang Tengah,2019,5.1011,398.0,73.0,37908.0
Magelang Tengah,2020,5.1011,398.0,73.0,48167.0
Magelang Tengah,2021,5.1011,398.0,73.0,
Magelang Utara,2019,6.29,306.0,49.0,49403.0
Magelang Utara,2020,6.29,306.0,49.0,37629.0
Magelang Utara,2021,6.29,306.0,49.0,
